1-5 years,"Female population, 1-5 years old","Only extreme rainfall affected female population, 1-5 years old","Only extreme heat affected female population, 1-5 years old","Only drought affected female population, 1-5 years old","Only strong hurricanes affected female population, 1-5 years old","Extreme rainfall & heat affected female population, 1-5 years old","Extreme rainfall & drought affected female population, 1-5 years old","Extreme rainfall & hurricanes affected female population, 1-5 years old","Extreme heat & drought affected female population, 1-5 years old","Extreme heat & hurricanes affected female population, 1-5 years old","Drought & strong hurricanes affected female population, 1-5 years old","Extreme rainfall, heat, & drought affected female population, 1-5 years old","Extreme rainfall, heat, & hurricanes affected female population, 1-5 years old","Extreme rainfall, drought, & hurricanes affected female population, 1-5 years old","Extreme heat, drought, & hurricanes affected female population, 1-5 years old","Extreme rainfall, heat, drought, & hurricanes affected female population, 1-5 years old","% Only extreme rainfall affected female population, 1-5 years old","% Only extreme heat affected female population, 1-5 years old","% Only drought affected female population, 1-5 years old","% Only strong hurricanes affected female population, 1-5 years old","% Extreme rainfall & heat affected female population, 1-5 years old","% Extreme rainfall & drought affected female population, 1-5 years old","% Extreme rainfall & hurricanes affected female population, 1-5 years old","% Extreme heat & drought affected female population, 1-5 years old","% Extreme heat & hurricanes affected female population, 1-5 years old","% Drought & strong hurricanes affected female population, 1-5 years old","% Extreme rainfall, heat, & drought affected female population, 1-5 years old","% Extreme rainfall, heat, & hurricanes affected female population, 1-5 years old","% Extreme rainfall, drought, & hurricanes affected female population, 1-5 years old","% Extreme heat, drought, & hurricanes affected female population, 1-5 years old","% Extreme rainfall, heat, drought, & hurricanes affected female population, 1-5 years old","Extreme climate affected female population, 1-5 years old","% Extreme climate affected female population, 1-5 years old","Extreme rainfall affected female population, 1-5 years old","% Extreme rainfall affected female population, 1-5 years old","Extreme heat affected female population, 1-5 years old","% Extreme heat affected female population, 1-5 years old","Drought affected female population, 1-5 years old","% Drought affected female population, 1-5 years old","Strong hurricanes affected female population, 1-5 years old","% Strong hurricanes affected female population, 1-5 years old"
41,62936.883,0.0,0.0,62296.91,0.0,0.0,0.0,0.0,639.97327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.983154,0.0,0.0,0.0,0.0,1.0168494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62936.883,100.0,0.0,0.0,639.97327,1.0168494,62936.883,100.0,0.0,0.0
42,11204.177,0.0,0.0,10987.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.06896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10987.82,98.06896,0.0,0.0,0.0,0.0,10987.82,98.06896,0.0,0.0
43,58132.996,0.0,0.0,58132.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58132.996,100.0,0.0,0.0,0.0,0.0,58132.996,100.0,0.0,0.0
44,2240.072,0.0,0.0,0.0,2169.7654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2169.7654,96.86141,0.0,0.0,0.0,0.0,0.0,0.0,2169.7654,96.86141
45,28027.137,0.0,19176.373,3330.1233,0.0,0.0,0.0,0.0,3333.5994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42073,11.881783,0.0,0.0,0.0,0.0,11.894184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25840.096,92.1967,0.0,0.0,22509.973,80.31492,6663.7227,23.775967,0.0,0.0
46,43037.82,0.0,326.89227,30867.043,0.0,0.0,0.0,0.0,1514.9199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7595465,71.72074,0.0,0.0,0.0,0.0,3.5199738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32708.855,76.00026,0.0,0.0,1841.8123,4.27952,32381.963,75.240715,0.0,0.0
47,108667.66,0.0,0.0,95481.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.86556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95481.45,87.86556,0.0,0.0,0.0,0.0,95481.45,87.86556,0.0,0.0
48,26579.418,1030.077,0.0,18522.324,0.0,6294.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8754687,0.0,69.686714,0.0,23.681477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25846.799,97.24367,7324.476,27.556948,6294.399,23.681477,18522.324,69.686714,0.0,0.0
49,34454.895,0.0,0.0,20376.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.13992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20376.596,59.13992,0.0,0.0,0.0,0.0,20376.596,59.13992,0.0,0.0
50,72872.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
